########## UNSATISFIED USERS ##########
User 781 satisfaction: -10
User 782 satisfaction: -10
User 783 satisfaction: -10
User 786 satisfaction: -10
User 787 satisfaction: -10
User 788 satisfaction: -10
User 789 satisfaction: -10
User 790 satisfaction: -10
User 791 satisfaction: -10
User 792 satisfaction: -10
User 794 satisfaction: -10
User 795 satisfaction: -10
User 796 satisfaction: -10
User 798 satisfaction: -10
User 799 satisfaction: -10
User 800 satisfaction: -10
User 801 satisfaction: -10
User 803 satisfaction: -10
User 804 satisfaction: -10
User 805 satisfaction: -10
User 806 satisfaction: -10
User 807 satisfaction: -10
User 808 satisfaction: -10
User 809 satisfaction: -10
User 810 satisfaction: -10
User 811 satisfaction: -10
User 812 satisfaction: -10
User 813 satisfaction: -10
User 814 satisfaction: -10
User 815 satisfaction: -10
User 816 satisfaction: -10
User 817 satisfaction: -10
User 818 satisfaction: -10
User 819 satisfaction: -10
User 820 satisfaction: -10
User 821 satisfaction: -10
User 822 satisfaction: -10
User 823 satisfaction: -10
User 824 satisfaction: -10
User 825 satisfaction: -10
User 826 satisfaction: -10
User 827 satisfaction: -10
User 828 satisfaction: -10
User 829 satisfaction: -10
User 830 satisfaction: -10
User 831 satisfaction: -10
User 832 satisfaction: -10
User 833 satisfaction: -10
User 834 satisfaction: -10
User 835 satisfaction: -10
User 837 satisfaction: -10
User 839 satisfaction: -10
User 840 satisfaction: -10
User 842 satisfaction: -10
User 843 satisfaction: -10
User 844 satisfaction: -10
User 848 satisfaction: -10
User 849 satisfaction: -10
User 850 satisfaction: -5
User 851 satisfaction: -10
User 852 satisfaction: -10
User 854 satisfaction: -10
User 855 satisfaction: -10
User 856 satisfaction: -10
User 858 satisfaction: -10
User 861 satisfaction: -10
User 862 satisfaction: -10
User 863 satisfaction: -10
User 864 satisfaction: -10
User 865 satisfaction: -10
User 866 satisfaction: -10
User 867 satisfaction: -10
User 868 satisfaction: -10
User 869 satisfaction: -10
User 870 satisfaction: -10
User 871 satisfaction: -10
User 872 satisfaction: -10
User 873 satisfaction: -10
User 874 satisfaction: -10
User 875 satisfaction: -10
User 876 satisfaction: -10
User 877 satisfaction: -10
User 878 satisfaction: -10
User 879 satisfaction: -10
User 880 satisfaction: -10
User 882 satisfaction: -10
User 883 satisfaction: -10
User 884 satisfaction: -5
User 887 satisfaction: -10
User 890 satisfaction: -10
User 891 satisfaction: -10
User 892 satisfaction: -10
User 893 satisfaction: -10
User 894 satisfaction: -10
User 895 satisfaction: -10
User 896 satisfaction: -10
User 897 satisfaction: -10
User 898 satisfaction: -10
User 899 satisfaction: -10
User 900 satisfaction: -10
User 901 satisfaction: -10
User 902 satisfaction: -10
User 903 satisfaction: -10
User 904 satisfaction: -10
User 905 satisfaction: -10
User 906 satisfaction: -10
User 908 satisfaction: -10
User 909 satisfaction: -10
User 910 satisfaction: -10
User 911 satisfaction: -10
User 912 satisfaction: -10
User 913 satisfaction: -10
User 914 satisfaction: -10
User 916 satisfaction: -10
User 918 satisfaction: -10
User 919 satisfaction: -10
User 920 satisfaction: -10
User 922 satisfaction: -10
User 923 satisfaction: -10
User 924 satisfaction: -10
User 925 satisfaction: -10
User 926 satisfaction: -10
User 927 satisfaction: -10
User 928 satisfaction: -10
User 930 satisfaction: -10
User 931 satisfaction: -10
User 932 satisfaction: -10
User 933 satisfaction: -10
User 934 satisfaction: -10
User 935 satisfaction: -10
User 936 satisfaction: -10
User 937 satisfaction: -10
User 938 satisfaction: -10
User 939 satisfaction: -10
User 941 satisfaction: -10
User 943 satisfaction: -10
User 945 satisfaction: -10
User 946 satisfaction: -10
User 947 satisfaction: -10
User 949 satisfaction: -10
User 950 satisfaction: -10
User 951 satisfaction: -10
User 952 satisfaction: -10
User 953 satisfaction: -10
User 954 satisfaction: -10
User 955 satisfaction: -10
User 956 satisfaction: -10
User 957 satisfaction: -10
User 958 satisfaction: -10
User 959 satisfaction: -10
User 960 satisfaction: -10
User 961 satisfaction: -10
User 962 satisfaction: -10
User 964 satisfaction: -10
User 966 satisfaction: -10
User 967 satisfaction: -10
User 968 satisfaction: -10
User 969 satisfaction: -10
User 970 satisfaction: -10
User 971 satisfaction: -10
User 972 satisfaction: -10
User 973 satisfaction: -10
User 974 satisfaction: -10
User 975 satisfaction: -10
User 976 satisfaction: -10
User 978 satisfaction: -10
User 979 satisfaction: -10
User 980 satisfaction: -10
User 981 satisfaction: -10
User 982 satisfaction: -10
User 983 satisfaction: -10
User 984 satisfaction: -10
User 985 satisfaction: -10
User 986 satisfaction: -10
User 987 satisfaction: -10
User 988 satisfaction: -10
User 989 satisfaction: -10
User 990 satisfaction: -10
User 991 satisfaction: -10
User 992 satisfaction: -10
User 993 satisfaction: -10
User 994 satisfaction: -10
User 995 satisfaction: -10
User 998 satisfaction: -10
User 1000 satisfaction: -10
Total number of unsatisfied users: 827
########## SATISFIED USERS ##########
User 1 satisfaction: 5
User 2 satisfaction: 13.0
User 3 satisfaction: 0
User 4 satisfaction: -5
User 5 satisfaction: -5
User 7 satisfaction: 10
User 8 satisfaction: -5
User 9 satisfaction: 40
User 10 satisfaction: -5
User 12 satisfaction: -5
User 15 satisfaction: 0
User 17 satisfaction: 20
User 18 satisfaction: -5
User 21 satisfaction: -5
User 22 satisfaction: -5
User 24 satisfaction: 15
User 25 satisfaction: 0
User 26 satisfaction: 20
User 27 satisfaction: 0
User 28 satisfaction: -5
User 31 satisfaction: -5
User 32 satisfaction: 10
User 33 satisfaction: 15
User 35 satisfaction: 40
User 36 satisfaction: -5
User 38 satisfaction: -5
User 40 satisfaction: -5
User 41 satisfaction: 5
User 44 satisfaction: -5
User 46 satisfaction: -5
User 48 satisfaction: 0
User 49 satisfaction: -5
User 51 satisfaction: -5
User 53 satisfaction: -5
User 54 satisfaction: -5
User 56 satisfaction: 10
User 58 satisfaction: 0
User 61 satisfaction: -5
User 65 satisfaction: 0
User 68 satisfaction: -5
User 70 satisfaction: -5
User 71 satisfaction: -5
User 74 satisfaction: -5
